"id","name"
22,"Crime"
16,"Education"
30,"Essays"
3,"Fantasy"
1,"Fiction"
12,"Fiction Japan"
5,"Memoir"
2,"Non-Fiction"
24,"Non-Fiction Art"
18,"Non-Fiction Career"
20,"Non-Fiction Communication"
25,"Non-Fiction Cooking"
31,"Non-Fiction home"
21,"Non-Fiction Philosophy"
10,"Non-Fiction Self-help"
29,"Non-Fiction sport"
15,"Non-Fiction Tech"
9,"Novel"
26,"Novel Romance"
28,"Novel Travel"
13,"Philosophy"
27,"Play"
8,"Romance"
32,"Self-help"
19,"Short stories"
4,"Short Stories"
7,"Thriller"
6,"Travel"
