"id","customer_id","order_date","total_amount"
3313,38,"2026-06-21 20:34:46.642644",39.28
3312,37,"2026-06-21 20:32:21.91949",35.97
3311,21,"2026-06-21 20:29:59.967365",34.97
3310,55,"2026-06-21 20:27:56.226919",25.79
3309,236,"2026-06-21 20:26:29.647465",29.97
3308,111,"2026-06-21 20:24:20.773396",8.99
3307,111,"2026-06-21 20:23:52.579405",18.48
3306,69,"2026-06-21 20:22:41.897489",35.97
3305,84,"2026-06-21 20:21:37.522596",28.97
3304,13,"2026-06-20 08:54:35.494181",85.38
3303,137,"2026-06-20 08:51:58.321452",33.48
3302,187,"2026-06-20 08:50:29.468512",38.47
3301,124,"2026-06-20 08:48:18.494101",108.87
3300,231,"2026-06-20 08:46:47.035104",24.98
3299,106,"2026-06-20 08:44:51.585704",48.77
3298,363,"2026-06-19 09:01:06.786446",106.97
3297,399,"2026-06-19 08:59:51.304557",16.89
3296,36,"2026-06-19 08:57:57.236437",9.99
3295,327,"2026-06-18 15:05:57.807638",72.77
3294,161,"2026-06-18 15:04:29.454038",52.47
3293,395,"2026-06-18 15:02:34.281014",49.97
3292,165,"2026-06-18 14:59:53.685178",42.97
3291,338,"2026-06-18 14:56:58.950297",29.98
3290,447,"2026-06-17 22:46:54.144126",22.49
3289,447,"2026-06-17 22:46:41.7885",14.99
3288,447,"2026-06-17 22:46:28.490345",15.81
3287,447,"2026-06-17 22:46:18.237237",19.29
3286,446,"2026-06-17 22:45:29.031025",8.99
3285,446,"2026-06-17 22:45:20.203874",8.49
3284,446,"2026-06-17 22:45:02.686787",29.99
3283,445,"2026-06-17 22:43:59.113509",16.39
3282,157,"2026-06-17 22:43:04.418161",18.99
3281,157,"2026-06-17 22:42:59.521152",14.00
3280,157,"2026-06-17 22:42:55.993991",12.99
3279,284,"2026-06-17 22:42:22.282877",16.98
3278,284,"2026-06-17 22:41:48.869438",30.00
3277,179,"2026-06-17 22:40:36.145743",16.80
3276,141,"2026-06-17 22:39:30.4142",36.99
3275,141,"2026-06-17 22:39:14.763771",14.99
3274,141,"2026-06-17 22:39:06.413876",11.89
3273,141,"2026-06-17 22:38:52.650369",10.99
3272,93,"2026-06-17 22:37:42.997626",14.99
3271,93,"2026-06-17 22:37:31.772581",16.39
3270,93,"2026-06-17 22:37:16.966296",8.99
3269,191,"2026-06-17 22:35:38.781526",36.99
3268,191,"2026-06-17 22:35:31.849606",11.89
3267,191,"2026-06-17 22:35:23.399899",45.00
3266,143,"2026-06-17 22:34:26.33507",9.49
3265,143,"2026-06-17 22:34:17.675368",16.80
3264,160,"2026-06-17 22:33:21.663661",31.95
3263,444,"2026-06-16 21:42:35.289774",18.99
3262,444,"2026-06-16 21:42:23.139023",24.99
3261,444,"2026-06-16 21:42:10.204423",18.99
3260,444,"2026-06-16 21:41:50.064534",12.93
3259,443,"2026-06-16 21:41:12.265624",16.80
3258,443,"2026-06-16 21:40:38.615454",17.99
3257,443,"2026-06-16 21:40:25.710734",13.99
3256,443,"2026-06-16 21:40:21.233274",18.87
3255,442,"2026-06-16 21:39:41.92868",20.99
3254,442,"2026-06-16 21:39:21.908906",18.87
3253,442,"2026-06-16 21:39:07.978173",16.99
3252,441,"2026-06-16 21:38:21.065052",45.00
3251,441,"2026-06-16 21:38:13.204442",22.49
3250,147,"2026-06-16 21:33:41.862183",9.99
3249,187,"2026-06-16 21:32:48.847467",16.00
3248,187,"2026-06-16 21:32:44.398799",13.99
3247,187,"2026-06-16 21:32:29.543626",7.49
3246,301,"2026-06-16 21:31:22.579627",8.99
3245,189,"2026-06-16 21:30:40.146945",22.49
3244,189,"2026-06-16 21:30:28.296755",13.49
3243,176,"2026-06-16 21:29:23.380342",20.99
3242,176,"2026-06-16 21:28:59.005254",16.80
3241,22,"2026-06-16 21:27:57.579028",13.99
3240,22,"2026-06-16 21:27:41.78534",9.49
3239,181,"2026-06-15 23:29:51.029065",16.80
3238,181,"2026-06-15 23:29:43.037574",12.49
