"id","total_lessons","remaining_lessons","purchase_date","price_paid","customer_id","package_type"
526,5,0,"2026-06-21",55.00,113,"YOGA"
529,1,0,"2026-06-21",15.00,110,"YOGA"
528,3,0,"2026-06-21",40.00,111,"YOGA"
525,10,0,"2026-06-21",100.00,208,"YOGA"
527,3,0,"2026-06-21",40.00,112,"YOGA"
521,3,0,"2026-06-20",40.00,95,"YOGA"
520,1,0,"2026-06-20",5.00,94,"MEDITATION"
519,3,0,"2026-06-20",40.00,94,"YOGA"
518,3,0,"2026-06-20",40.00,93,"YOGA"
524,5,0,"2026-06-20",55.00,96,"YOGA"
522,1,0,"2026-06-20",5.00,95,"MEDITATION"
523,1,0,"2026-06-20",5.00,95,"MEDITATION"
514,3,0,"2026-06-19",40.00,88,"YOGA"
517,1,0,"2026-06-19",5.00,91,"MEDITATION"
516,1,0,"2026-06-19",5.00,91,"MEDITATION"
515,5,0,"2026-06-19",55.00,91,"YOGA"
506,5,1,"2026-06-19",55.00,126,"YOGA"
513,3,0,"2026-06-19",40.00,89,"YOGA"
512,5,0,"2026-06-19",55.00,90,"YOGA"
511,5,0,"2026-06-19",55.00,1687,"YOGA"
510,1,0,"2026-06-19",5.00,169,"MEDITATION"
509,5,0,"2026-06-19",55.00,169,"YOGA"
508,5,0,"2026-06-19",55.00,325,"YOGA"
507,5,0,"2026-06-19",20.00,126,"MEDITATION"
499,3,0,"2026-06-17",40.00,86,"YOGA"
505,1,0,"2026-06-17",15.00,89,"YOGA"
504,1,0,"2026-06-17",15.00,88,"YOGA"
503,1,0,"2026-06-17",5.00,87,"MEDITATION"
502,1,0,"2026-06-17",5.00,87,"MEDITATION"
501,5,0,"2026-06-17",55.00,87,"YOGA"
500,1,0,"2026-06-17",5.00,86,"MEDITATION"
498,5,0,"2026-06-17",55.00,85,"YOGA"
497,3,0,"2026-06-17",40.00,82,"YOGA"
496,3,0,"2026-06-17",40.00,83,"YOGA"
495,3,0,"2026-06-17",40.00,84,"YOGA"
494,5,0,"2026-06-17",20.00,455,"MEDITATION"
493,5,0,"2026-06-17",55.00,455,"YOGA"
485,5,0,"2026-06-15",55.00,4900,"YOGA"
490,3,0,"2026-06-15",40.00,77,"YOGA"
492,1,0,"2026-06-15",15.00,83,"YOGA"
486,5,0,"2026-06-15",55.00,48,"YOGA"
491,1,0,"2026-06-15",15.00,82,"YOGA"
488,1,0,"2026-06-15",5.00,73,"MEDITATION"
487,3,0,"2026-06-15",40.00,73,"YOGA"
489,3,0,"2026-06-15",40.00,74,"YOGA"
482,5,0,"2026-06-13",55.00,17,"YOGA"
481,5,0,"2026-06-13",20.00,509,"MEDITATION"
483,3,1,"2026-06-13",40.00,69,"YOGA"
484,3,0,"2026-06-13",40.00,70,"YOGA"
480,5,0,"2026-06-13",55.00,509,"YOGA"
467,5,0,"2026-06-10",55.00,453,"YOGA"
473,1,0,"2026-06-10",15.00,62,"YOGA"
472,3,0,"2026-06-10",40.00,61,"YOGA"
479,5,0,"2026-06-10",55.00,69,"YOGA"
471,5,0,"2026-06-10",55.00,1715,"YOGA"
478,1,0,"2026-06-10",5.00,68,"MEDITATION"
477,1,0,"2026-06-10",5.00,68,"MEDITATION"
468,5,0,"2026-06-10",20.00,453,"MEDITATION"
470,10,0,"2026-06-10",100.00,511,"YOGA"
476,5,0,"2026-06-10",20.00,67,"MEDITATION"
466,5,0,"2026-06-10",20.00,1623,"MEDITATION"
475,5,0,"2026-06-10",55.00,64,"YOGA"
465,5,0,"2026-06-10",55.00,1623,"YOGA"
469,10,0,"2026-06-10",100.00,456,"YOGA"
474,1,0,"2026-06-10",15.00,63,"YOGA"
456,5,0,"2026-06-08",55.00,1619,"YOGA"
452,5,0,"2026-06-08",55.00,114,"YOGA"
453,5,0,"2026-06-08",20.00,114,"MEDITATION"
460,1,0,"2026-06-08",15.00,204,"YOGA"
463,1,0,"2026-06-08",5.00,211,"MEDITATION"
462,3,0,"2026-06-08",40.00,211,"YOGA"
457,3,0,"2026-06-08",40.00,181,"YOGA"
461,3,0,"2026-06-08",40.00,205,"YOGA"
464,3,0,"2026-06-08",40.00,218,"YOGA"
454,5,0,"2026-06-08",55.00,1624,"YOGA"
458,5,0,"2026-06-08",55.00,191,"YOGA"
459,1,0,"2026-06-08",5.00,191,"MEDITATION"
455,5,0,"2026-06-08",20.00,1624,"MEDITATION"
446,5,0,"2026-06-06",55.00,158,"YOGA"
443,5,0,"2026-06-06",55.00,122,"YOGA"
439,3,0,"2026-06-06",40.00,117,"YOGA"
438,10,0,"2026-06-06",100.00,115,"YOGA"
451,3,0,"2026-06-06",40.00,182,"YOGA"
431,5,0,"2026-06-06",20.00,125,"MEDITATION"
450,1,0,"2026-06-06",5.00,177,"MEDITATION"
437,1,0,"2026-06-06",15.00,113,"YOGA"
436,10,0,"2026-06-06",100.00,159,"YOGA"
449,1,0,"2026-06-06",5.00,177,"MEDITATION"
448,5,0,"2026-06-06",55.00,177,"YOGA"
447,5,0,"2026-06-06",20.00,158,"MEDITATION"
435,10,0,"2026-06-06",100.00,21,"YOGA"
430,5,0,"2026-06-06",55.00,125,"YOGA"
440,1,0,"2026-06-06",5.00,117,"MEDITATION"
434,5,0,"2026-06-06",20.00,458,"MEDITATION"
445,3,0,"2026-06-06",40.00,124,"YOGA"
433,5,0,"2026-06-06",55.00,458,"YOGA"
444,1,0,"2026-06-06",5.00,122,"MEDITATION"
432,10,0,"2026-06-06",100.00,1714,"YOGA"
442,1,0,"2026-06-06",5.00,119,"MEDITATION"
441,3,0,"2026-06-06",40.00,119,"YOGA"
428,3,0,"2026-06-04",40.00,60,"YOGA"
422,3,0,"2026-06-04",40.00,1689,"YOGA"
429,1,0,"2026-06-04",5.00,60,"MEDITATION"
423,5,0,"2026-06-04",55.00,55,"YOGA"
427,3,0,"2026-06-04",40.00,59,"YOGA"
424,1,0,"2026-06-04",5.00,55,"MEDITATION"
426,3,0,"2026-06-04",40.00,58,"YOGA"
425,1,0,"2026-06-04",5.00,55,"MEDITATION"
412,5,0,"2026-06-02",55.00,1675,"YOGA"
420,3,0,"2026-06-02",40.00,40,"YOGA"
411,1,0,"2026-06-02",5.00,1673,"MEDITATION"
418,3,0,"2026-06-02",40.00,50,"YOGA"
419,3,0,"2026-06-02",40.00,41,"YOGA"
417,1,0,"2026-06-02",5.00,49,"MEDITATION"
416,5,0,"2026-06-02",55.00,49,"YOGA"
415,3,0,"2026-06-02",40.00,47,"YOGA"
414,3,0,"2026-06-02",40.00,45,"YOGA"
413,5,0,"2026-06-02",20.00,1675,"MEDITATION"
410,5,0,"2026-06-02",55.00,1673,"YOGA"
421,3,0,"2026-06-02",40.00,39,"YOGA"
387,5,0,"2026-06-01",20.00,4908,"MEDITATION"
409,1,0,"2026-06-01",5.00,43,"MEDITATION"
408,3,0,"2026-06-01",40.00,43,"YOGA"
407,1,0,"2026-06-01",15.00,41,"YOGA"
406,1,0,"2026-06-01",15.00,40,"YOGA"
405,1,0,"2026-06-01",15.00,39,"YOGA"
404,1,0,"2026-06-01",15.00,38,"YOGA"
403,5,0,"2026-06-01",55.00,37,"YOGA"
402,5,0,"2026-06-01",55.00,35,"YOGA"
401,1,0,"2026-06-01",5.00,34,"MEDITATION"
400,3,0,"2026-06-01",40.00,34,"YOGA"
399,3,0,"2026-06-01",40.00,33,"YOGA"
398,5,0,"2026-06-01",20.00,32,"MEDITATION"
397,5,0,"2026-06-01",55.00,32,"YOGA"
395,5,0,"2026-06-01",55.00,31,"YOGA"
396,5,0,"2026-06-01",20.00,31,"MEDITATION"
393,5,0,"2026-06-01",55.00,29,"YOGA"
390,5,0,"2026-06-01",55.00,314,"YOGA"
391,5,0,"2026-06-01",20.00,314,"MEDITATION"
392,10,0,"2026-06-01",100.00,597,"YOGA"
388,5,0,"2026-06-01",55.00,5,"YOGA"
383,10,0,"2026-06-01",100.00,532,"YOGA"
384,10,0,"2026-06-01",100.00,510,"YOGA"
386,5,0,"2026-06-01",55.00,4908,"YOGA"
394,1,0,"2026-06-01",5.00,29,"MEDITATION"
389,5,0,"2026-06-01",55.00,4842,"YOGA"
385,5,0,"2026-06-01",55.00,508,"YOGA"
382,1,0,"2026-05-30",15.00,25,"YOGA"
381,1,0,"2026-05-30",15.00,20,"YOGA"
380,1,0,"2026-05-30",15.00,18,"YOGA"
376,5,0,"2026-05-26",55.00,16,"YOGA"
377,1,0,"2026-05-26",5.00,16,"MEDITATION"
373,5,0,"2026-05-26",55.00,343,"YOGA"
374,5,0,"2026-05-26",55.00,416,"YOGA"
379,1,0,"2026-05-26",5.00,17,"MEDITATION"
375,5,0,"2026-05-26",55.00,276,"YOGA"
378,3,0,"2026-05-26",40.00,17,"YOGA"
367,5,0,"2026-05-24",55.00,1625,"YOGA"
371,1,0,"2026-05-24",5.00,14,"MEDITATION"
362,10,0,"2026-05-24",100.00,389,"YOGA"
370,1,0,"2026-05-24",5.00,14,"MEDITATION"
365,5,0,"2026-05-24",55.00,336,"YOGA"
366,5,0,"2026-05-24",20.00,336,"MEDITATION"
369,3,0,"2026-05-24",40.00,14,"YOGA"
372,3,0,"2026-05-24",40.00,15,"YOGA"
364,1,0,"2026-05-24",5.00,169,"MEDITATION"
363,5,0,"2026-05-24",55.00,169,"YOGA"
368,10,0,"2026-05-24",100.00,507,"YOGA"
358,3,0,"2026-05-23",40.00,12,"YOGA"
359,3,0,"2026-05-23",40.00,13,"YOGA"
357,3,0,"2026-05-23",40.00,11,"YOGA"
356,5,0,"2026-05-23",55.00,10,"YOGA"
355,5,0,"2026-05-23",20.00,9,"MEDITATION"
354,10,0,"2026-05-23",100.00,9,"YOGA"
361,1,0,"2026-05-23",5.00,13,"MEDITATION"
360,1,0,"2026-05-23",5.00,13,"MEDITATION"
351,5,0,"2026-05-22",55.00,6,"YOGA"
353,10,0,"2026-05-22",100.00,8,"YOGA"
347,5,0,"2026-05-22",20.00,4870,"MEDITATION"
349,5,0,"2026-05-22",20.00,4831,"MEDITATION"
348,5,0,"2026-05-22",55.00,4831,"YOGA"
352,10,0,"2026-05-22",100.00,7,"YOGA"
350,1,0,"2026-05-22",15.00,5,"YOGA"
346,5,0,"2026-05-22",55.00,4870,"YOGA"
341,1,0,"2026-05-20",5.00,1,"MEDITATION"
343,3,0,"2026-05-20",40.00,3,"YOGA"
345,1,0,"2026-05-20",15.00,4,"YOGA"
340,1,0,"2026-05-20",5.00,1,"MEDITATION"
344,1,0,"2026-05-20",5.00,3,"MEDITATION"
342,3,0,"2026-05-20",40.00,2,"YOGA"
339,5,0,"2026-05-20",55.00,1,"YOGA"
338,1,0,"2026-05-18",5.00,2411,"MEDITATION"
336,1,0,"2026-05-18",5.00,2410,"MEDITATION"
335,3,0,"2026-05-18",40.00,2410,"YOGA"
334,1,0,"2026-05-18",5.00,2307,"MEDITATION"
333,1,0,"2026-05-18",5.00,2307,"MEDITATION"
332,5,0,"2026-05-18",55.00,2307,"YOGA"
331,1,0,"2026-05-18",5.00,2306,"MEDITATION"
330,1,0,"2026-05-18",5.00,2306,"MEDITATION"
329,5,0,"2026-05-18",55.00,2306,"YOGA"
328,1,0,"2026-05-18",15.00,2272,"YOGA"
327,1,0,"2026-05-18",15.00,2271,"YOGA"
326,3,0,"2026-05-18",40.00,2268,"YOGA"
325,3,0,"2026-05-18",40.00,2246,"YOGA"
337,3,0,"2026-05-18",40.00,2411,"YOGA"
319,1,0,"2026-05-16",15.00,3078,"YOGA"
318,3,0,"2026-05-16",40.00,3077,"YOGA"
321,1,0,"2026-05-16",5.00,3079,"MEDITATION"
322,3,0,"2026-05-16",40.00,2242,"YOGA"
323,1,0,"2026-05-16",5.00,2242,"MEDITATION"
324,1,0,"2026-05-16",5.00,2242,"MEDITATION"
320,5,0,"2026-05-16",55.00,3079,"YOGA"
307,3,0,"2026-05-15",40.00,1749,"YOGA"
317,1,0,"2026-05-15",15.00,3076,"YOGA"
316,1,0,"2026-05-15",5.00,3074,"MEDITATION"
315,1,0,"2026-05-15",5.00,3074,"MEDITATION"
314,5,0,"2026-05-15",55.00,3074,"YOGA"
313,1,0,"2026-05-15",5.00,3073,"MEDITATION"
312,1,0,"2026-05-15",5.00,3073,"MEDITATION"
311,5,0,"2026-05-15",55.00,3073,"YOGA"
310,1,0,"2026-05-15",5.00,1750,"MEDITATION"
309,3,0,"2026-05-15",40.00,1750,"YOGA"
308,1,0,"2026-05-15",5.00,1749,"MEDITATION"
306,1,0,"2026-05-15",5.00,1747,"MEDITATION"
305,3,0,"2026-05-15",40.00,1747,"YOGA"
304,5,0,"2026-05-15",55.00,4900,"YOGA"
303,5,0,"2026-05-15",55.00,1687,"YOGA"
